caminho	tamanho	hash_md5	logger	extensao	pista	carro	data	sessao	duplicata_de
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000986.pds	2988968	06e90b09427d875dd59198d90a6f5c6d	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000986.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000985.pds	4198040	a668fa61430fd715591cfdcd51d5d0b2	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000985.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000985.pid	1092146	8e4fe585bec07e63150f46b3d910e923	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000985.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000982.pds	5057216	88a6c010b9d90b364dae0f2d5b49a530	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000982.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000982.pid	1326532	9bd2930854abd240f001feb916489c07	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000982.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000981.pds	7918624	f5da9f13a635445383d9297b47a43371	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000981.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000981.pid	2081444	e51c2fa434900c36a507eaf65fbc9ee5	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000981.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000980.pid	1472644	05fd153978d5161d29b19f6a6399db2e	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000980.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000980.pds	5611264	1b154aa6a5bd1742549ba8e28489436d	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000980.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000979.pds	6499536	fd76ed6304bdf012fa8f23f4ecad92c3	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000979.pds
