caminho	tamanho	hash_md5	logger	extensao	pista	carro	data	sessao	duplicata_de
PIBIC/AARB/SUV_vdd.mf4	333544	a4f2a8e6f342dfd69a4234a2c366212b	ASAM MDF4	mf4					
PIBIC/Inerter/SEMI_ATIVO/SUV_vdd.mf4	3958584	a5e04e86b52efc88add1dbeb25d35c4e	ASAM MDF4	mf4					
_INBOX/SSD_Antigo_vitor/Desktop/Porsche/LapSim_153557.csv	264465	f58be10c16063a9d119a7c2fb8d0b1c1	Simulador	csv		Porsche			
_INBOX/SSD_Antigo_vitor/Desktop/Porsche/CopaTruck_Sim_105747.csv	226207	f975b7a76119fca36b77aa921181547c	Simulador	csv		Porsche			
PIBIC/AARB/simulacoes/vi_crt/FFHOOK.mf4	6569116	81572de8ff5f793dc9fa8fcd3143f44a	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/fshk.mf4	6569116	625407580d66dc51d4c45705935b15da	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/jturn.mf4	8266032	885f7bcc1b25b7d16f79d32eb873b5ec	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SedanCar_vdd.mf4	9830236	e619e54b439ea016c5645de6030fc269	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/FISHOOK.mf4	6569116	44225242e8166c0091b8d7b9e2fe92a1	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SedanCar_fshk.mf4	6379516	56a6f3f0291f6442bbd74df17cc97c63	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SUV_fshk.mf4	5694264	fa753191c3140c8ef153bc7760580d63	ASAM MDF4	mf4					
PIBIC/AARB/simulacoes/vi_crt/SedanCar_fshk_copy.mf4	6332112	98abf528d4464fcc7f79c86972c66e08	ASAM MDF4	mf4					
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0043.xrz	52693	4d1d288999ef34bff5a46b09fde03d19	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0045.xrz	67622	4cdcb9d629baba0870b9f68ea9c483bd	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0043.xrk	122136	d7cd6815552825b6381f8f82590a712c	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0044.xrz	51701	d99d522f79ebb5ff2a413a60262026d9	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0046.xrk	345352	a8ef7fa859162a16905c1461aaa63821	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0044.xrk	120154	400ec6ebc4e0b946460553ff1adb5c86	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0045.xrk	158975	308d689e62babf427e7237de69b33e88	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0046.xrz	152698	aa875c47e3a5bb2264d1de1f2e506fb7	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0064.xrz	1853504	c282e0bd1868090704dc502e5b007485	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0064.xrk	4021682	c482afbff591a8d943ced682f2af4876	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0065.xrz	819542	77263c605f08c8f61e90fac53e971a94	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0065.xrk	1800570	807a2967abe5634e24c2ab56d37cbbcc	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0068.xrz	786231	dace393ef9b4a20a791e36c98bf5cb88	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0068.xrk	1717823	507639133ee21b0d25513624be350a2d	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0069.xrk	4502663	6744841c2341fea78a779b6f29d7e0fd	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0069.xrz	2077916	04819154c8d077847f21d015561a617f	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0072.xrz	2284228	7ed069e390e3d739b5d429128086636c	AiM	xrz	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Joao Almeida_911 turbo s_NelsonPiquet_Testes genéricos_a_0072.xrk	4930557	79372bf9457b6604a7577bcac0a2e941	AiM	xrk	NelsonPiquet	911 turbo s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0041.xrk	134426	2f1539ae0550f7131eb354d8110297ca	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0041.xrz	58516	90c27573933a1db728a3a64efc129f63	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0042.xrz	1144586	5f5790122860473ee99904568c5a87f3	AiM	xrz	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Jose Vasconcellos_Lamborgini Temerario_Braslia novo_Testes genéricos_a_0042.xrk	2509791	9c3c838eb1164e9697d86b91ac987805	AiM	xrk	Braslia novo	Lamborgini Temerario		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Miguel Pantazis_Ferrari 296 GTB_Braslia novo_Testes genéricos_a_0008.xrk	5462230	5f8788cb94062368b6195821c26ccd2e	AiM	xrk	Braslia novo	Ferrari 296 GTB		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Miguel Pantazis_Ferrari 296 GTB_Braslia novo_Testes genéricos_a_0008.xrz	2492489	469192ff7a8720a740343e25ee4ea0dd	AiM	xrz	Braslia novo	Ferrari 296 GTB		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_McLaren 750s_Braslia novo_Testes genéricos_a_0040.xrz	1252725	4ea85355356f00e35f8555c3c4f309cb	AiM	xrz	Braslia novo	McLaren 750s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_McLaren 750s_Braslia novo_Testes genéricos_a_0040.xrk	2741219	0d0d12aaed548c63f809529c67e31f5e	AiM	xrk	Braslia novo	McLaren 750s		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/William_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2281.xrz	930175	707aabafc10f301307cbc7c6f7d13a3e	AiM	xrz	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/William_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2281.xrk	1876502	21c0981ae95686c3fe4dab0f507108b1	AiM	xrk	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2283.xrz	1364927	9ca2d4b843f12f57d447172652f10e41	AiM	xrz	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/Pedro Fortes_BMW M2racing 6cc_NelsonPiquet_Testes genéricos_a_2283.xrk	2734560	a195f9fd0d384ea80b5ce2104229381c	AiM	xrk	NelsonPiquet	BMW M2racing 6cc		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/André Gomide_Porsche 911 turbo S_NelsonPiquet_Testes genéricos_a_2279.xrz	3047573	7570e8fc954b01da1d22ec314ae2e65e	AiM	xrz	NelsonPiquet	Porsche 911 turbo S		Testes genéricos	
Trabalho/Telemetria/Motos_2026_12MBR-BSB/André Gomide_Porsche 911 turbo S_NelsonPiquet_Testes genéricos_a_2279.xrk	6426989	5974d2e50479adbd75fcb452e1cf8b47	AiM	xrk	NelsonPiquet	Porsche 911 turbo S		Testes genéricos	
Trabalho/Telemetria/Motos_2021-2024/Juan Vieira_11_Goiania_Qualifying testing_a_0392.xrk	5343039	99f4536f1cdd50afd89596d539829ddd	AiM	xrk	Goiania	11		Qualifying testing	
Trabalho/Telemetria/Motos_2021-2024/Gustavo Manso_88 _Curitiba PA_Generic testing_a_0748.xrk	4188617	cf858f115e524fc265a420c62240386f	AiM	xrk	Curitiba PA	88		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/7CAUARODRIGUES1TREINO_Goiania_Generic testing_a_0001.xrk	2680809	260247f2080c6bca5ed6d3f1636dce2b	AiM	xrk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/Gonzalo Augusto_23 Yamaha R3_Curvelo_Generic testing_a_0036.rrk	3166080	f08d3fa419cfecd855295b4e4c9844e9	AiM	rrk	Curvelo	23 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/23_GONZALO AUGUSTO_Goiania_Generic testing_a_0268.gpk	5140608	3f2bab7a0549aeaeda7c909cd9e65a55	AiM	gpk	Goiania	GONZALO AUGUSTO		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/ALEX BARBOSA_S1000 RR_Curitiba PA_Generic testing_a_0019.xrk	3736428	fe330384d1940156af79cc5539e306f6	AiM	xrk	Curitiba PA	S1000 RR		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Superpole_20220805_133034.xrk	5005936	d9293655490255ec3cf34644d20a5b74	AiM	xrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Gustavo Manso_88 Yamaha R3_Curvelo_Generic testing_a_0738.gpk	3164352	86872916452ffd1f8360075ff934c295	AiM	gpk	Curvelo	88 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_153444.xrz	1490944	435a4153090c15c605508081fcbfd967	AiM	xrz			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Superpole_20220805_133034.rrk	3802560	c5305c9c64df7f5cc3e4093d1427a309	AiM	rrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_153444.xrk	3091079	56fdc621bd82ca8180c915b640cb1a83	AiM	xrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/88 manso_YAMAHA R3_Goiania_Generic testing_a_0612.xrk	7383541	88abd2fc46169eacdb70c1f79408ca19	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Breno 44_Superpole_20220805_130456.gpk	4423776	2d0c57ef2df3d0525fefc92e847955a1	AiM	gpk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Superpole_20220805_133034.gpk	17110752	53e9adcece5b755b6f332800fd4172b8	AiM	gpk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/41-MIGUEL HENRIQUE_YAMAHA R3_Goiania_Generic testing_a_0332.gpk	5754048	6e2db4b482f9fb531af4a92ec4be0860	AiM	gpk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Joao Fascineli_13 Yamaha R3_Curvelo_Generic testing_a_0176.xrk	4158490	87c493d34b883b68887b83dad3cb3eec	AiM	xrk	Curvelo	13 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Gustavo Manso_88 _Curitiba PA_Generic testing_a_0748.gpk	3186816	ba82b30898046e8c65f7f1544afa9994	AiM	gpk	Curitiba PA	88		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/14 JESUS BRYAN_YAMAHA R3_Goiania_Generic testing_a_0432.rrk	1269248	e88995d9084c269aae89a06c816b1ef1	AiM	rrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_130940.rrk	2276288	d08cd05ea0d921dec248115eff2c771a	AiM	rrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220806_082956.gpk	4562880	88b5196daf7c336bc3242b5583b0a496	AiM	gpk			20220806	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_130940.gpk	10242528	419ef9216ec6bf528251d13746cb019e	AiM	gpk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/41_MIGUEL HENRIQUE_Goiania_Generic testing_a_0331.gpk	4109568	adf7dd44a266987de72711025018a9c7	AiM	gpk	Goiania	MIGUEL HENRIQUE		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/86 JOAO_YAMAHA R3_Goiania_Generic testing_a_0260.xrk	3723839	6b119ce2f9eaa0ea95311e6ad0b91b4e	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Juan Vieira_11_CURVELO_Generic testing_a_0369.gpk	4668864	d9d8e41845c46e5ecb3841e37af3a6cf	AiM	gpk	CURVELO	11		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_130940.xrz	1523289	22a22cdb505f1d6686ed9b8825f719c7	AiM	xrz			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/39 _ENZO_Goiania st_Generic testing_a_0083.xrk	4359343	ec51c7673f9430aa528a5d24826e87db	AiM	xrk	Goiania st	ENZO		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Julian_Yamaha R3_Generic testing_a_0288.xrk	7535054	795bc4ba9e29b13f68104c070c25827b	AiM	xrk	Generic testing	Yamaha R3			
Trabalho/Telemetria/Motos_2021-2024/22_YAMAHA R3_Goiania_Generic testing_a_0125.xrk	2759693	9c82c344f8bcdaee249acd0906fa37ea	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/86 JOAO_YAMAHA R3_Goiania_Generic testing_a_0261.rrk	640064	dc108c789c9198b8dde8b2923b7c877d	AiM	rrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Julian_Yamaha R3_Generic testing_a_0289.xrk	5004068	da4344436f7264bdacaf385a7d06b54b	AiM	xrk	Generic testing	Yamaha R3			
Trabalho/Telemetria/Motos_2021-2024/Breno 44_Superpole_20220806_083048.xrk	3983196	aa5e8cc4c905e85ad72eb1f074ad320e	AiM	xrk			20220806	Superpole	
Trabalho/Telemetria/Motos_2021-2024/Julian_Yamaha R3_Generic testing_a_0288.rrk	1278080	10159ea206b3d38406edcd5fe3cc300f	AiM	rrk	Generic testing	Yamaha R3			
Trabalho/Telemetria/Motos_2021-2024/Gustavo Manso_88 Yamaha R3_Curvelo_Generic testing_a_0738.xrk	4159345	e7a77ea5b5e7e944c19fa81d0d0bedb3	AiM	xrk	Curvelo	88 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/20211126_122430_Brayann Santos_Practice 1.drk	1246622	f700e170359c764d699987b930368059	AiM	drk			20211126	Practice 1	
Trabalho/Telemetria/Motos_2021-2024/Diego Pierluigi_Yamaha R1_Interlago SP_Qualifying testinga_0019.gpk	2052672	d586fa018a89e8e5a7c4c82d3a40980d	AiM	gpk					
Trabalho/Telemetria/Motos_2021-2024/86 JOAO_YAMAHA R3_Goiania_Generic testing_a_0261.xrk	3785203	2b5cbcd4ec5f64d80667c0f245e620ee	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/88 manso_YAMAHA R3_Goiania_Generic testing_a_0610.xrk	3543487	0e6ed149bccb3f774fd568dcafd59653	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220805_130940.xrk	3141616	a8d0ca2dd3cbfbe846244edfefa53085	AiM	xrk			20220805	Superpole	
Trabalho/Telemetria/Motos_2021-2024/122_classificatorio_Goiania_Generic testing_a_0293.gpk	3428160	9c222ef7efdb57ad2b4898623efa6e97	AiM	gpk	Goiania	classificatorio		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/22_YAMAHA R3_Goiania_Generic testing_a_0125.gpk	2281632	8c56be17d085ba141d8c95a97ff5ddda	AiM	gpk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 228_Superpole_20220806_082956.xrz	1347584	2afd6a60fb7646ecbe3adf82945c3fb7	AiM	xrz			20220806	Superpole	
Trabalho/Telemetria/Motos_2021-2024/14 JESUS BRYAN_YAMAHA R3_Goiania_Generic testing_a_0432.gpk	5711424	fd84a014315cc306a77e6d808fe77168	AiM	gpk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Julian_Yamaha R3_Generic testing_a_0290.xrk	2359197	a06478920ff9ac65c1e9fe37f55ecb0a	AiM	xrk	Generic testing	Yamaha R3			
Trabalho/Telemetria/Motos_2021-2024/27 -_27_Goiania SBK_Generic testing_a_0211.xrk	4954320	3cfe6da4d0bcc1413a08fc0b5eaa5962	AiM	xrk	Goiania SBK	27		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/39 _ENZO_Goiania st_Generic testing_a_0080.xrk	4848373	e8cc19d7533bac58ede8cc58bea6e244	AiM	xrk	Goiania st	ENZO		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/7CAUARODRIGUES1TREINO_Goiania_Generic testing_a_0001.gpk	3918048	edd846201ee5c475bd9a454fb5a2617e	AiM	gpk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/14 JESUS BRYAN_YAMAHA R3_Goiania_Generic testing_a_0432.xrk	5166750	bd00974a48fbfda898d6612f0301d4a7	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/56 Enzo Maccapani_YAMAHA R3_Goiania_Generic testing_a_0638.gpk	4307136	98cab5d3417158b76ecd8f860e3a8825	AiM	gpk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/78_YAMAHA R3_Goiania_Generic testing_a_0278.xrk	2407505	8053872049e474ae8d2de955bbac0fce	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/122_classificatorio_Goiania_Generic testing_a_0293.drk	997940	7dd53a88f09b18cd768566a2c4243ae8	AiM	drk	Goiania	classificatorio		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/88 manso_YAMAHA R3_Goiania_Generic testing_a_0610.rrk	615296	bb0abdd50e97458c7ed18bd920b9b61c	AiM	rrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/39 _ENZO_Goiania st_Generic testing_a_0080.rrk	1574528	8f08f727b80e6809dd6174443d643c97	AiM	rrk	Goiania st	ENZO		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/27 -_27_Goiania SBK_Generic testing_a_0211.gpk	3885216	db77fc0ca91a2524be84b4c9eec85113	AiM	gpk	Goiania SBK	27		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/39 _ENZO_Goiania st_Generic testing_a_0083.rrk	1415424	45298f0a3718aba26ababf659691b9a5	AiM	rrk	Goiania st	ENZO		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Erico - 22_Generic testing_20220805_101016.drk	590174	8ec331a383411128b51a9a1d800c7a8e	AiM	drk			20220805	Generic testing	
Trabalho/Telemetria/Motos_2021-2024/88 manso_YAMAHA R3_Goiania_Generic testing_a_0612.rrk	1281152	542626f1571f518b2c14c81e5cb8127f	AiM	rrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/56ENZOMACAPANI1TREINO_Goiania_Generic testing_a_0637.gpk	2852448	57727378b1255b57b396b7aa964beaa5	AiM	gpk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/122_classificatorio_Goiania_Generic testing_a_0294.gpk	2863680	8fdaca810e329d8dd5100c9df46eb061	AiM	gpk	Goiania	classificatorio		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/78_YAMAHA R3_Goiania_Generic testing_a_0278.gpk	1987296	0da90df2d011a1ae08981d51023f10cc	AiM	gpk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/122_classificatorio_Goiania_Generic testing_a_0293.xrk	4398296	16917db4d18a9af0718e9d2658765e3a	AiM	xrk	Goiania	classificatorio		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/56 Enzo Maccapani_YAMAHA R3_Goiania_Generic testing_a_0638.xrk	5210268	27ed307b48109988dce4470a7267aab8	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Generic testing_20220805_103829.drk	792854	fbb2e97412f2ee95a1061f1b95b607e6	AiM	drk			20220805	Generic testing	
Trabalho/Telemetria/Motos_2021-2024/7CAUARODRIGUES1TREINO_Goiania_Generic testing_a_0001.rrk	870720	fb3f96e47ab51c0e1f48d35e91cd8152	AiM	rrk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/41_MIGUEL HENRIQUE_Goiania_Generic testing_a_0331.xrk	5358170	37890ff3f60c3597fb0ff6e8abc9194f	AiM	xrk	Goiania	MIGUEL HENRIQUE		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/56ENZOMACAPANI1TREINO_Goiania_Generic testing_a_0637.xrk	3456108	0acc9e1d5a5816427d6896419e21df79	AiM	xrk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/122_classificatorio_Goiania_Generic testing_a_0294.xrk	3636978	96e13060e23c2e5c5dc257141ac5d6ce	AiM	xrk	Goiania	classificatorio		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Gabriel Carioca_22 R6_Interlago SP_Generic testing_a_0337.drk	453224	fa03606bafd464e363a51c9a05a82232	AiM	drk	Interlago SP	22 R6		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/27 1TREINO_Goiania SBK_Generic testing_a_0211.rrk	863424	ad59e216a347ed5aa52da0f4d2cbb223	AiM	rrk	Generic testing	Goiania SBK			
Trabalho/Telemetria/Motos_2021-2024/24FACUMORA1TREINO_Goiania_Generic testing_a_0261.xrk	6486129	efea41afa0a9e33ef2fc5c196f1f4d40	AiM	xrk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/56ENZOMACAPANI1TREINO_Goiania_Generic testing_a_0637.drk	822014	37feba3517122d275a011d7be5f8c93d	AiM	drk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/Gonzalo Augusto_23 Yamaha R3_Curvelo_Generic testing_a_0036.xrk	9743363	95c92cbf72fffa008399f491afd26018	AiM	xrk	Curvelo	23 Yamaha R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/DazziBMW S1000RR21102017_002.gpk	2151744	7f5cc8de62afcabb6488f9a837c46892	AiM	gpk		BMW S1000RR	21102017		
Trabalho/Telemetria/Motos_2021-2024/Evandro - 79_Generic testing_20220805_103829.xrk	4178628	d988ded43776a67230bfb866fbac743f	AiM	xrk			20220805	Generic testing	
Trabalho/Telemetria/Motos_2021-2024/Diego Pierluigi_Yamaha R1_Interlago SP_Qualifying testinga_0021.gpk	1637952	53f4144beb6ff39e1bd02c99bc19d736	AiM	gpk					
Trabalho/Telemetria/Motos_2021-2024/Enzo Valentin_39_Curvelo_Generic testing_a_0295.gpk	4989120	b1c2796df2b00ba81f1c3712c053207c	AiM	gpk	Curvelo	39		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/41_MIGUEL HENRIQUE_Goiania_Generic testing_a_0331.rrk	913280	ef1e0812a489f94f308b680db1382e58	AiM	rrk	Goiania	MIGUEL HENRIQUE		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/41-MIGUEL HENRIQUE_YAMAHA R3_Goiania_Generic testing_a_0332.xrk	7174512	4482542b0c93acd1589f91fda07256d4	AiM	xrk	Goiania	YAMAHA R3		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/24FACUMORA1TREINO_Goiania_Generic testing_a_0261.gpk	5095392	036d686f5d468dd587582778a0698454	AiM	gpk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/DazziBMW S1000RR23092017.gpk	1412160	9624c0c6103b6493d7ce746ec1043ca7	AiM	gpk		BMW S1000RR	23092017		
Trabalho/Telemetria/Motos_2021-2024/Diego Pierluigi_Yamaha R1_Interlago SP_Qualifying testinga_0016.gpk	1254048	ae334bc7d2298a399c7465db5a4c4929	AiM	gpk					
Trabalho/Telemetria/Motos_2021-2024/Diego Pierluigi_Yamaha R1_Interlago SP_Qualifying testinga_0017.gpk	1619808	19d7e06facbe2569f0a9be1197b0ef38	AiM	gpk					
Trabalho/Telemetria/Motos_2021-2024/14_JESUS BRYAN_Goiania_Generic testing_a_0431.xrk	4890779	97d2526529f93ee598babe0a876f987b	AiM	xrk	Goiania	JESUS BRYAN		Generic testing	
Trabalho/Telemetria/Motos_2021-2024/21HEBERT1TREINO_Goiania_Generic testing_a_0139.xrk	3047960	4779fc5d42905b7702429f5dca791f96	AiM	xrk	Generic testing	Goiania			
Trabalho/Telemetria/Motos_2021-2024/DazziBMW S1000RR22102017.rrk	520128	0cb260c2d80c0493bd594c7c80ed2213	AiM	rrk		BMW S1000RR	22102017		
Trabalho/Telemetria/Motos_2021-2024/JulianoKawasaki Zx10r14082017.gpk	1302144	e3ce05456f0373de45e8efa0e886532b	AiM	gpk		Kawasaki Zx10r	14082017		
Trabalho/Telemetria/Motos_2021-2024/Fletado9623102021.gpk	1458528	fad09359fae9b7d4565bba54952b9c42	AiM	gpk					
